	latitude	longitude	elevation
YY.SRD.*.SHZ	56.3190	159.6930	830
YY.SRD.*.SHN	56.3190	159.6930	830
YY.SRD.*.SHE	56.3190	159.6930	830
YY.TUM.*.SHZ	55.2830	160.1460	1210
YY.TUM.*.SHN	55.2830	160.1460	1210
YY.TUM.*.SHE	55.2830	160.1460	1210
YY.KRY.*.SHZ	54.0360	159.4490	900
YY.KRY.*.SHN	54.0360	159.4490	900
YY.KRY.*.SHE	54.0360	159.4490	900
YY.MKZ.*.SHZ	54.5560	161.7300	520
YY.MKZ.*.SHN	54.5560	161.7300	520
YY.MKZ.*.SHE	54.5560	161.7300	520
